day,metric,mean,q025,q975,date,specialty
11,rtt_maxwt,6,6,6,08/10/2022,ENT
11,rtt_meanwt,5.5,5.5,5.5,08/10/2022,ENT
11,rtt_medianwt,5.5,5.5,5.5,08/10/2022,ENT
11,rtt_nwm78_total,1,1,1,08/10/2022,ENT
11,wl_size,425,425,425,08/10/2022,ENT
12,nwl104_total,0,0,0,09/10/2022,ENT
12,nwl52_total,360,360,360,09/10/2022,ENT
12,nwm104_total,1,1,1,09/10/2022,ENT
12,nwm52_total,65,65,65,09/10/2022,ENT
12,nwm78_total,1,1,1,09/10/2022,ENT
12,rtt_maxwt,4,4,4,09/10/2022,ENT
12,rtt_meanwt,2.6666666666666665,2.6666666666666665,2.6666666666666665,09/10/2022,ENT
12,rtt_medianwt,2,2,2,09/10/2022,ENT
12,rtt_nwm78_total,1,1,1,09/10/2022,ENT
12,wl_size,426,426,426,09/10/2022,ENT
13,nwl104_total,0,0,0,10/10/2022,ENT
13,nwl52_total,360,360,360,10/10/2022,ENT
13,nwm104_total,1,1,1,10/10/2022,ENT
13,nwm52_total,65,65,65,10/10/2022,ENT
13,nwm78_total,1,1,1,10/10/2022,ENT
13,rtt_maxwt,3,3,3,10/10/2022,ENT
13,rtt_meanwt,2.5,2.5,2.5,10/10/2022,ENT
13,rtt_medianwt,2.5,2.5,2.5,10/10/2022,ENT
13,rtt_nwm78_total,1,1,1,10/10/2022,ENT
13,wl_size,426,426,426,10/10/2022,ENT
14,nwl104_total,0,0,0,11/10/2022,ENT
14,nwl52_total,358,358,358,11/10/2022,ENT
14,nwm104_total,1,1,1,11/10/2022,ENT
14,nwm52_total,65,65,65,11/10/2022,ENT
14,nwm78_total,1,1,1,11/10/2022,ENT
14,rtt_maxwt,13,13,13,11/10/2022,ENT
14,rtt_meanwt,7.25,7.25,7.25,11/10/2022,ENT
14,rtt_medianwt,8,8,8,11/10/2022,ENT
14,rtt_nwm78_total,1,1,1,11/10/2022,ENT
14,wl_size,424,424,424,11/10/2022,ENT
15,nwl104_total,0,0,0,12/10/2022,ENT
15,nwl52_total,354,354,354,12/10/2022,ENT
15,nwm104_total,1,1,1,12/10/2022,ENT
15,nwm52_total,70,70,70,12/10/2022,ENT
15,nwm78_total,1,1,1,12/10/2022,ENT
15,rtt_maxwt,13,13,13,12/10/2022,ENT
15,rtt_meanwt,6.5,6.5,6.5,12/10/2022,ENT
15,rtt_medianwt,6.5,6.5,6.5,12/10/2022,ENT
15,rtt_nwm78_total,1,1,1,12/10/2022,ENT
15,wl_size,425,425,425,12/10/2022,ENT
16,nwl104_total,0,0,0,13/10/2022,ENT
16,nwl52_total,356,356,356,13/10/2022,ENT
16,nwm104_total,1,1,1,13/10/2022,ENT
16,nwm52_total,70,70,70,13/10/2022,ENT
16,nwm78_total,1,1,1,13/10/2022,ENT
16,rtt_maxwt,285,285,285,13/10/2022,ENT
16,rtt_meanwt,99.33333333333333,99.33333333333333,99.33333333333333,13/10/2022,ENT
16,rtt_medianwt,13,13,13,13/10/2022,ENT
16,rtt_nwm78_total,1,1,1,13/10/2022,ENT
16,wl_size,427,427,427,13/10/2022,ENT
17,nwl104_total,0,0,0,14/10/2022,ENT
17,nwl52_total,358,358,358,14/10/2022,ENT
17,nwm104_total,1,1,1,14/10/2022,ENT
