day,metric,mean,q025,q975,date,specialty
55,nwl52_total,424,424,424,21/11/2022,ENT
55,nwm104_total,1,1,1,21/11/2022,ENT
55,nwm52_total,90,90,90,21/11/2022,ENT
55,nwm78_total,1,1,1,21/11/2022,ENT
55,rtt_nwm78_total,1,1,1,21/11/2022,ENT
55,wl_size,515,515,515,21/11/2022,ENT
56,nwl104_total,0,0,0,22/11/2022,ENT
56,nwl52_total,426,426,426,22/11/2022,ENT
56,nwm104_total,1,1,1,22/11/2022,ENT
56,nwm52_total,90,90,90,22/11/2022,ENT
56,nwm78_total,1,1,1,22/11/2022,ENT
56,rtt_maxwt,12,12,12,22/11/2022,ENT
56,rtt_meanwt,12,12,12,22/11/2022,ENT
56,rtt_medianwt,12,12,12,22/11/2022,ENT
56,rtt_nwm78_total,1,1,1,22/11/2022,ENT
56,wl_size,517,517,517,22/11/2022,ENT
57,nwl104_total,0,0,0,23/11/2022,ENT
57,nwl52_total,425,425,425,23/11/2022,ENT
57,nwm104_total,1,1,1,23/11/2022,ENT
57,nwm52_total,92,92,92,23/11/2022,ENT
57,nwm78_total,2,2,2,23/11/2022,ENT
57,rtt_maxwt,12,12,12,23/11/2022,ENT
57,rtt_meanwt,12,12,12,23/11/2022,ENT
57,rtt_medianwt,12,12,12,23/11/2022,ENT
57,rtt_nwm78_total,2,2,2,23/11/2022,ENT
57,wl_size,518,518,518,23/11/2022,ENT
58,nwl104_total,0,0,0,24/11/2022,ENT
58,nwl52_total,427,427,427,24/11/2022,ENT
58,nwm104_total,1,1,1,24/11/2022,ENT
58,nwm52_total,92,92,92,24/11/2022,ENT
58,nwm78_total,2,2,2,24/11/2022,ENT
58,rtt_maxwt,13,13,13,24/11/2022,ENT
58,rtt_meanwt,13,13,13,24/11/2022,ENT
58,rtt_medianwt,13,13,13,24/11/2022,ENT
58,rtt_nwm78_total,2,2,2,24/11/2022,ENT
58,wl_size,520,520,520,24/11/2022,ENT
59,nwl104_total,0,0,0,25/11/2022,ENT
59,nwl52_total,428,428,428,25/11/2022,ENT
59,nwm104_total,1,1,1,25/11/2022,ENT
59,nwm52_total,92,92,92,25/11/2022,ENT
59,nwm78_total,2,2,2,25/11/2022,ENT
59,rtt_maxwt,14,14,14,25/11/2022,ENT
59,rtt_meanwt,13.5,13.5,13.5,25/11/2022,ENT
59,rtt_medianwt,13.5,13.5,13.5,25/11/2022,ENT
59,rtt_nwm78_total,2,2,2,25/11/2022,ENT
59,wl_size,521,521,521,25/11/2022,ENT
60,nwl104_total,0,0,0,26/11/2022,ENT
60,nwl52_total,431,431,431,26/11/2022,ENT
60,nwm104_total,1,1,1,26/11/2022,ENT
60,nwm52_total,92,92,92,26/11/2022,ENT
60,nwm78_total,2,2,2,26/11/2022,ENT
60,rtt_maxwt,13,13,13,26/11/2022,ENT
60,rtt_meanwt,13,13,13,26/11/2022,ENT
60,rtt_medianwt,13,13,13,26/11/2022,ENT
60,rtt_nwm78_total,2,2,2,26/11/2022,ENT
60,wl_size,524,524,524,26/11/2022,ENT
61,nwl104_total,0,0,0,27/11/2022,ENT
61,nwl52_total,435,435,435,27/11/2022,ENT
61,nwm104_total,1,1,1,27/11/2022,ENT
61,nwm52_total,92,92,92,27/11/2022,ENT
61,nwm78_total,2,2,2,27/11/2022,ENT
61,rtt_maxwt,13,13,13,27/11/2022,ENT
61,rtt_meanwt,11.5,11.5,11.5,27/11/2022,ENT
61,rtt_medianwt,11.5,11.5,11.5,27/11/2022,ENT
61,rtt_nwm78_total,2,2,2,27/11/2022,ENT
61,wl_size,528,528,528,27/11/2022,ENT
62,nwl104_total,0,0,0,28/11/2022,ENT
62,nwl52_total,438,438,438,28/11/2022,ENT
62,nwm104_total,1,1,1,28/11/2022,ENT
62,nwm52_total,92,92,92,28/11/2022,ENT
62,nwm78_total,2,2,2,28/11/2022,ENT
62,rtt_nwm78_total,2,2,2,28/11/2022,ENT
62,wl_size,531,531,531,28/11/2022,ENT
63,nwl104_total,0,0,0,29/11/2022,ENT
63,nwl52_total,438,438,438,29/11/2022,ENT
63,nwm104_total,1,1,1,29/11/2022,ENT
63,nwm52_total,92,92,92,29/11/2022,ENT
63,nwm78_total,2,2,2,29/11/2022,ENT
63,rtt_maxwt,35,35,35,29/11/2022,ENT
63,rtt_meanwt,18.333333333333332,18.333333333333332,18.333333333333332,29/11/2022,ENT
63,rtt_medianwt,11,11,11,29/11/2022,ENT
63,rtt_nwm78_total,2,2,2,29/11/2022,ENT
63,wl_size,531,531,531,29/11/2022,ENT
64,nwl104_total,0,0,0,30/11/2022,ENT
64,nwl52_total,432,432,432,30/11/2022,ENT
64,nwm104_total,1,1,1,30/11/2022,ENT
64,nwm52_total,97,97,97,30/11/2022,ENT
64,nwm78_total,2,2,2,30/11/2022,ENT
64,rtt_maxwt,10,10,10,30/11/2022,ENT
64,rtt_meanwt,9.5,9.5,9.5,30/11/2022,ENT
64,rtt_medianwt,9.5,9.5,9.5,30/11/2022,ENT
64,rtt_nwm78_total,2,2,2,30/11/2022,ENT
64,wl_size,530,530,530,30/11/2022,ENT
65,nwl104_total,0,0,0,01/12/2022,ENT
65,nwl52_total,437,437,437,01/12/2022,ENT
65,nwm104_total,1,1,1,01/12/2022,ENT
65,nwm52_total,97,97,97,01/12/2022,ENT
65,nwm78_total,2,2,2,01/12/2022,ENT
65,rtt_nwm78_total,2,2,2,01/12/2022,ENT
65,wl_size,535,535,535,01/12/2022,ENT
66,nwl104_total,0,0,0,02/12/2022,ENT
66,nwl52_total,438,438,438,02/12/2022,ENT
66,nwm104_total,1,1,1,02/12/2022,ENT
66,nwm52_total,97,97,97,02/12/2022,ENT
66,nwm78_total,2,2,2,02/12/2022,ENT
66,rtt_maxwt,11,11,11,02/12/2022,ENT
66,rtt_meanwt,11,11,11,02/12/2022,ENT
66,rtt_medianwt,11,11,11,02/12/2022,ENT
66,rtt_nwm78_total,2,2,2,02/12/2022,ENT
66,wl_size,536,536,536,02/12/2022,ENT
67,nwl104_total,0,0,0,03/12/2022,ENT
67,nwl52_total,438,438,438,03/12/2022,ENT
67,nwm104_total,1,1,1,03/12/2022,ENT
67,nwm52_total,97,97,97,03/12/2022,ENT
67,nwm78_total,2,2,2,03/12/2022,ENT
67,rtt_maxwt,11,11,11,03/12/2022,ENT
67,rtt_meanwt,10.5,10.5,10.5,03/12/2022,ENT
67,rtt_medianwt,10.5,10.5,10.5,03/12/2022,ENT
67,rtt_nwm78_total,2,2,2,03/12/2022,ENT
67,wl_size,536,536,536,03/12/2022,ENT
68,nwl104_total,0,0,0,04/12/2022,ENT
68,nwl52_total,437,437,437,04/12/2022,ENT
68,nwm104_total,1,1,1,04/12/2022,ENT
68,nwm52_total,97,97,97,04/12/2022,ENT
68,nwm78_total,2,2,2,04/12/2022,ENT
68,rtt_maxwt,104,104,104,04/12/2022,ENT
68,rtt_meanwt,33.75,33.75,33.75,04/12/2022,ENT
68,rtt_medianwt,10.5,10.5,10.5,04/12/2022,ENT
68,rtt_nwm78_total,2,2,2,04/12/2022,ENT
68,wl_size,535,535,535,04/12/2022,ENT
69,nwl104_total,0,0,0,05/12/2022,ENT
69,nwl52_total,441,441,441,05/12/2022,ENT
69,nwm104_total,1,1,1,05/12/2022,ENT
69,nwm52_total,97,97,97,05/12/2022,ENT
69,nwm78_total,2,2,2,05/12/2022,ENT
69,rtt_maxwt,11,11,11,05/12/2022,ENT
69,rtt_meanwt,10.5,10.5,10.5,05/12/2022,ENT
69,rtt_medianwt,10.5,10.5,10.5,05/12/2022,ENT
69,rtt_nwm78_total,2,2,2,05/12/2022,ENT
69,wl_size,539,539,539,05/12/2022,ENT
70,nwl104_total,0,0,0,06/12/2022,ENT
70,nwl52_total,447,447,447,06/12/2022,ENT
70,nwm104_total,1,1,1,06/12/2022,ENT
70,nwm52_total,97,97,97,06/12/2022,ENT
70,nwm78_total,2,2,2,06/12/2022,ENT
70,rtt_maxwt,35,35,35,06/12/2022,ENT
70,rtt_meanwt,35,35,35,06/12/2022,ENT
70,rtt_medianwt,35,35,35,06/12/2022,ENT
70,rtt_nwm78_total,2,2,2,06/12/2022,ENT
70,wl_size,545,545,545,06/12/2022,ENT
71,nwl104_total,0,0,0,07/12/2022,ENT
71,nwl52_total,442,442,442,07/12/2022,ENT
71,nwm104_total,1,1,1,07/12/2022,ENT
71,nwm52_total,103,103,103,07/12/2022,ENT
71,nwm78_total,3,3,3,07/12/2022,ENT
71,rtt_maxwt,11,11,11,07/12/2022,ENT
71,rtt_meanwt,10.666666666666666,10.666666666666666,10.666666666666666,07/12/2022,ENT
71,rtt_medianwt,11,11,11,07/12/2022,ENT
71,rtt_nwm78_total,3,3,3,07/12/2022,ENT
71,wl_size,546,546,546,07/12/2022,ENT
72,nwl104_total,0,0,0,08/12/2022,ENT
72,nwl52_total,442,442,442,08/12/2022,ENT
72,nwm104_total,1,1,1,08/12/2022,ENT
72,nwm52_total,103,103,103,08/12/2022,ENT
72,nwm78_total,3,3,3,08/12/2022,ENT
72,rtt_maxwt,11,11,11,08/12/2022,ENT
72,rtt_meanwt,11,11,11,08/12/2022,ENT
72,rtt_medianwt,11,11,11,08/12/2022,ENT
72,rtt_nwm78_total,3,3,3,08/12/2022,ENT
72,wl_size,546,546,546,08/12/2022,ENT
73,nwl104_total,0,0,0,09/12/2022,ENT
73,nwl52_total,449,449,449,09/12/2022,ENT
73,nwm104_total,1,1,1,09/12/2022,ENT
73,nwm52_total,103,103,103,09/12/2022,ENT
73,nwm78_total,3,3,3,09/12/2022,ENT
73,rtt_nwm78_total,3,3,3,09/12/2022,ENT
73,wl_size,553,553,553,09/12/2022,ENT
74,nwl104_total,0,0,0,10/12/2022,ENT
74,nwl52_total,446,446,446,10/12/2022,ENT
74,nwm104_total,1,1,1,10/12/2022,ENT
74,nwm52_total,103,103,103,10/12/2022,ENT
74,nwm78_total,3,3,3,10/12/2022,ENT
74,rtt_maxwt,13,13,13,10/12/2022,ENT
74,rtt_meanwt,12.666666666666666,12.666666666666666,12.666666666666666,10/12/2022,ENT
74,rtt_medianwt,13,13,13,10/12/2022,ENT
74,rtt_nwm78_total,3,3,3,10/12/2022,ENT
74,wl_size,550,550,550,10/12/2022,ENT
75,nwl104_total,0,0,0,11/12/2022,ENT
75,nwl52_total,450,450,450,11/12/2022,ENT
75,nwm104_total,1,1,1,11/12/2022,ENT
75,nwm52_total,103,103,103,11/12/2022,ENT
75,nwm78_total,3,3,3,11/12/2022,ENT
75,rtt_nwm78_total,3,3,3,11/12/2022,ENT
75,wl_size,554,554,554,11/12/2022,ENT
76,nwl104_total,0,0,0,12/12/2022,ENT
76,nwl52_total,448,448,448,12/12/2022,ENT
76,nwm104_total,1,1,1,12/12/2022,ENT
76,nwm52_total,103,103,103,12/12/2022,ENT
76,nwm78_total,3,3,3,12/12/2022,ENT
76,rtt_maxwt,14,14,14,12/12/2022,ENT
76,rtt_meanwt,13.666666666666666,13.666666666666666,13.666666666666666,12/12/2022,ENT
76,rtt_medianwt,14,14,14,12/12/2022,ENT
76,rtt_nwm78_total,3,3,3,12/12/2022,ENT
76,wl_size,552,552,552,12/12/2022,ENT
77,nwl104_total,0,0,0,13/12/2022,ENT
77,nwl52_total,450,450,450,13/12/2022,ENT
77,nwm104_total,1,1,1,13/12/2022,ENT
77,nwm52_total,103,103,103,13/12/2022,ENT
77,nwm78_total,3,3,3,13/12/2022,ENT
77,rtt_maxwt,14,14,14,13/12/2022,ENT
77,rtt_meanwt,13.666666666666666,13.666666666666666,13.666666666666666,13/12/2022,ENT
77,rtt_medianwt,14,14,14,13/12/2022,ENT
77,rtt_nwm78_total,3,3,3,13/12/2022,ENT
77,wl_size,554,554,554,13/12/2022,ENT
78,nwl104_total,0,0,0,14/12/2022,ENT
78,nwl52_total,441,441,441,14/12/2022,ENT
78,nwm104_total,1,1,1,14/12/2022,ENT
78,nwm52_total,110,110,110,14/12/2022,ENT
78,nwm78_total,4,4,4,14/12/2022,ENT
78,rtt_maxwt,14,14,14,14/12/2022,ENT
78,rtt_meanwt,13.25,13.25,13.25,14/12/2022,ENT
78,rtt_medianwt,13,13,13,14/12/2022,ENT
78,rtt_nwm78_total,4,4,4,14/12/2022,ENT
78,wl_size,552,552,552,14/12/2022,ENT
79,nwl104_total,0,0,0,15/12/2022,ENT
79,nwl52_total,445,445,445,15/12/2022,ENT
79,nwm104_total,1,1,1,15/12/2022,ENT
79,nwm52_total,110,110,110,15/12/2022,ENT
79,nwm78_total,4,4,4,15/12/2022,ENT
79,rtt_maxwt,13,13,13,15/12/2022,ENT
79,rtt_meanwt,13,13,13,15/12/2022,ENT
79,rtt_medianwt,13,13,13,15/12/2022,ENT
79,rtt_nwm78_total,4,4,4,15/12/2022,ENT
79,wl_size,556,556,556,15/12/2022,ENT
80,nwl104_total,0,0,0,16/12/2022,ENT
80,nwl52_total,447,447,447,16/12/2022,ENT
80,nwm104_total,1,1,1,16/12/2022,ENT
80,nwm52_total,110,110,110,16/12/2022,ENT
80,nwm78_total,4,4,4,16/12/2022,ENT
80,rtt_maxwt,13,13,13,16/12/2022,ENT
80,rtt_meanwt,13,13,13,16/12/2022,ENT
80,rtt_medianwt,13,13,13,16/12/2022,ENT
80,rtt_nwm78_total,4,4,4,16/12/2022,ENT
80,wl_size,558,558,558,16/12/2022,ENT
81,nwl104_total,0,0,0,17/12/2022,ENT
81,nwl52_total,454,454,454,17/12/2022,ENT
81,nwm104_total,1,1,1,17/12/2022,ENT
81,nwm52_total,110,110,110,17/12/2022,ENT
81,nwm78_total,4,4,4,17/12/2022,ENT
81,rtt_maxwt,14,14,14,17/12/2022,ENT
81,rtt_meanwt,14,14,14,17/12/2022,ENT
81,rtt_medianwt,14,14,14,17/12/2022,ENT
81,rtt_nwm78_total,4,4,4,17/12/2022,ENT
81,wl_size,565,565,565,17/12/2022,ENT
82,nwl104_total,0,0,0,18/12/2022,ENT
82,nwl52_total,453,453,453,18/12/2022,ENT
82,nwm104_total,1,1,1,18/12/2022,ENT
82,nwm52_total,110,110,110,18/12/2022,ENT
82,nwm78_total,4,4,4,18/12/2022,ENT
82,rtt_maxwt,14,14,14,18/12/2022,ENT
82,rtt_meanwt,13.5,13.5,13.5,18/12/2022,ENT
82,rtt_medianwt,13.5,13.5,13.5,18/12/2022,ENT
82,rtt_nwm78_total,4,4,4,18/12/2022,ENT
82,wl_size,564,564,564,18/12/2022,ENT
83,nwl104_total,0,0,0,19/12/2022,ENT
83,nwl52_total,452,452,452,19/12/2022,ENT
83,nwm104_total,1,1,1,19/12/2022,ENT
83,nwm52_total,110,110,110,19/12/2022,ENT
83,nwm78_total,4,4,4,19/12/2022,ENT
83,rtt_maxwt,14,14,14,19/12/2022,ENT
83,rtt_meanwt,14,14,14,19/12/2022,ENT
83,rtt_medianwt,14,14,14,19/12/2022,ENT
83,rtt_nwm78_total,4,4,4,19/12/2022,ENT
83,wl_size,563,563,563,19/12/2022,ENT
84,nwl104_total,0,0,0,20/12/2022,ENT
84,nwl52_total,452,452,452,20/12/2022,ENT
84,nwm104_total,1,1,1,20/12/2022,ENT
84,nwm52_total,109,109,109,20/12/2022,ENT
84,nwm78_total,4,4,4,20/12/2022,ENT
84,rtt_maxwt,14,14,14,20/12/2022,ENT
84,rtt_meanwt,14,14,14,20/12/2022,ENT
84,rtt_medianwt,14,14,14,20/12/2022,ENT
84,rtt_nwm78_total,4,4,4,20/12/2022,ENT
84,wl_size,562,562,562,20/12/2022,ENT
85,nwl104_total,0,0,0,21/12/2022,ENT
85,nwl52_total,448,448,448,21/12/2022,ENT
85,nwm104_total,1,1,1,21/12/2022,ENT
85,nwm52_total,113,113,113,21/12/2022,ENT
85,nwm78_total,8,8,8,21/12/2022,ENT
85,rtt_maxwt,15,15,15,21/12/2022,ENT
85,rtt_meanwt,15,15,15,21/12/2022,ENT
85,rtt_medianwt,15,15,15,21/12/2022,ENT
85,rtt_nwm78_total,8,8,8,21/12/2022,ENT
85,wl_size,562,562,562,21/12/2022,ENT
86,nwl104_total,0,0,0,22/12/2022,ENT
86,nwl52_total,450,450,450,22/12/2022,ENT
86,nwm104_total,1,1,1,22/12/2022,ENT
86,nwm52_total,113,113,113,22/12/2022,ENT
86,nwm78_total,8,8,8,22/12/2022,ENT
86,rtt_maxwt,16,16,16,22/12/2022,ENT
86,rtt_meanwt,16,16,16,22/12/2022,ENT
86,rtt_medianwt,16,16,16,22/12/2022,ENT
86,rtt_nwm78_total,8,8,8,22/12/2022,ENT
86,wl_size,564,564,564,22/12/2022,ENT
87,nwl104_total,0,0,0,23/12/2022,ENT
87,nwl52_total,453,453,453,23/12/2022,ENT
87,nwm104_total,1,1,1,23/12/2022,ENT
87,nwm52_total,113,113,113,23/12/2022,ENT
87,nwm78_total,8,8,8,23/12/2022,ENT
87,rtt_maxwt,16,16,16,23/12/2022,ENT
87,rtt_meanwt,16,16,16,23/12/2022,ENT
87,rtt_medianwt,16,16,16,23/12/2022,ENT
87,rtt_nwm78_total,8,8,8,23/12/2022,ENT
87,wl_size,567,567,567,23/12/2022,ENT
88,nwl104_total,0,0,0,24/12/2022,ENT
88,nwl52_total,455,455,455,24/12/2022,ENT
88,nwm104_total,1,1,1,24/12/2022,ENT
88,nwm52_total,113,113,113,24/12/2022,ENT
88,nwm78_total,8,8,8,24/12/2022,ENT
88,rtt_maxwt,36,36,36,24/12/2022,ENT
88,rtt_meanwt,26.5,26.5,26.5,24/12/2022,ENT
88,rtt_medianwt,26.5,26.5,26.5,24/12/2022,ENT
88,rtt_nwm78_total,8,8,8,24/12/2022,ENT
88,wl_size,569,569,569,24/12/2022,ENT
89,nwl104_total,0,0,0,25/12/2022,ENT
89,nwl52_total,453,453,453,25/12/2022,ENT
89,nwm104_total,1,1,1,25/12/2022,ENT
89,nwm52_total,113,113,113,25/12/2022,ENT
89,nwm78_total,8,8,8,25/12/2022,ENT
89,rtt_maxwt,40,40,40,25/12/2022,ENT
89,rtt_meanwt,29,29,29,25/12/2022,ENT
89,rtt_medianwt,29,29,29,25/12/2022,ENT
89,rtt_nwm78_total,8,8,8,25/12/2022,ENT
89,wl_size,567,567,567,25/12/2022,ENT
90,nwl104_total,0,0,0,26/12/2022,ENT
90,nwl52_total,459,459,459,26/12/2022,ENT
90,nwm104_total,1,1,1,26/12/2022,ENT
90,nwm52_total,113,113,113,26/12/2022,ENT
90,nwm78_total,8,8,8,26/12/2022,ENT
90,rtt_maxwt,19,19,19,26/12/2022,ENT
90,rtt_meanwt,19,19,19,26/12/2022,ENT
90,rtt_medianwt,19,19,19,26/12/2022,ENT
90,rtt_nwm78_total,8,8,8,26/12/2022,ENT
90,wl_size,573,573,573,26/12/2022,ENT
91,nwl104_total,0,0,0,27/12/2022,ENT
91,nwl52_total,461,461,461,27/12/2022,ENT
91,nwm104_total,1,1,1,27/12/2022,ENT
91,nwm52_total,113,113,113,27/12/2022,ENT
91,nwm78_total,8,8,8,27/12/2022,ENT
91,rtt_maxwt,19,19,19,27/12/2022,ENT
91,rtt_meanwt,19,19,19,27/12/2022,ENT
91,rtt_medianwt,19,19,19,27/12/2022,ENT
91,rtt_nwm78_total,8,8,8,27/12/2022,ENT
91,wl_size,575,575,575,27/12/2022,ENT
92,nwl104_total,0,0,0,28/12/2022,ENT
92,nwl52_total,457,457,457,28/12/2022,ENT
92,nwm104_total,1,1,1,28/12/2022,ENT
92,nwm52_total,120,120,120,28/12/2022,ENT
92,nwm78_total,11,11,11,28/12/2022,ENT
92,rtt_maxwt,17,17,17,28/12/2022,ENT
92,rtt_meanwt,17,17,17,28/12/2022,ENT
92,rtt_medianwt,17,17,17,28/12/2022,ENT
92,rtt_nwm78_total,11,11,11,28/12/2022,ENT
92,wl_size,578,578,578,28/12/2022,ENT
93,nwl104_total,0,0,0,29/12/2022,ENT
93,nwl52_total,459,459,459,29/12/2022,ENT
93,nwm104_total,1,1,1,29/12/2022,ENT
93,nwm52_total,120,120,120,29/12/2022,ENT
93,nwm78_total,11,11,11,29/12/2022,ENT
93,rtt_maxwt,18,18,18,29/12/2022,ENT
93,rtt_meanwt,18,18,18,29/12/2022,ENT
93,rtt_medianwt,18,18,18,29/12/2022,ENT
93,rtt_nwm78_total,11,11,11,29/12/2022,ENT
93,wl_size,580,580,580,29/12/2022,ENT
94,nwl104_total,0,0,0,30/12/2022,ENT
94,nwl52_total,461,461,461,30/12/2022,ENT
94,nwm104_total,1,1,1,30/12/2022,ENT
94,nwm52_total,120,120,120,30/12/2022,ENT
94,nwm78_total,11,11,11,30/12/2022,ENT
94,rtt_maxwt,36,36,36,30/12/2022,ENT
94,rtt_meanwt,36,36,36,30/12/2022,ENT
94,rtt_medianwt,36,36,36,30/12/2022,ENT
94,rtt_nwm78_total,11,11,11,30/12/2022,ENT
94,wl_size,582,582,582,30/12/2022,ENT
95,nwl104_total,0,0,0,31/12/2022,ENT
95,nwl52_total,462,462,462,31/12/2022,ENT
95,nwm104_total,1,1,1,31/12/2022,ENT
95,nwm52_total,120,120,120,31/12/2022,ENT
95,nwm78_total,11,11,11,31/12/2022,ENT
95,rtt_maxwt,18,18,18,31/12/2022,ENT
95,rtt_meanwt,18,18,18,31/12/2022,ENT
95,rtt_medianwt,18,18,18,31/12/2022,ENT
95,rtt_nwm78_total,11,11,11,31/12/2022,ENT
95,wl_size,583,583,583,31/12/2022,ENT
96,nwl104_total,0,0,0,01/01/2023,ENT
96,nwl52_total,468,468,468,01/01/2023,ENT
96,nwm104_total,1,1,1,01/01/2023,ENT
96,nwm52_total,120,120,120,01/01/2023,ENT
96,nwm78_total,11,11,11,01/01/2023,ENT
96,rtt_nwm78_total,11,11,11,01/01/2023,ENT
96,wl_size,589,589,589,01/01/2023,ENT
97,nwl104_total,0,0,0,02/01/2023,ENT
97,nwl52_total,469,469,469,02/01/2023,ENT
97,nwm104_total,1,1,1,02/01/2023,ENT
97,nwm52_total,120,120,120,02/01/2023,ENT
97,nwm78_total,11,11,11,02/01/2023,ENT
97,rtt_maxwt,37,37,37,02/01/2023,ENT
97,rtt_meanwt,37,37,37,02/01/2023,ENT
97,rtt_medianwt,37,37,37,02/01/2023,ENT
97,rtt_nwm78_total,11,11,11,02/01/2023,ENT
97,wl_size,590,590,590,02/01/2023,ENT
98,nwl104_total,0,0,0,03/01/2023,ENT
98,nwl52_total,475,475,475,03/01/2023,ENT
98,nwm104_total,1,1,1,03/01/2023,ENT
98,nwm52_total,120,120,120,03/01/2023,ENT
98,nwm78_total,11,11,11,03/01/2023,ENT
98,rtt_maxwt,21,21,21,03/01/2023,ENT
98,rtt_meanwt,21,21,21,03/01/2023,ENT
98,rtt_medianwt,21,21,21,03/01/2023,ENT
98,rtt_nwm78_total,11,11,11,03/01/2023,ENT
98,wl_size,596,596,596,03/01/2023,ENT
99,nwl104_total,0,0,0,04/01/2023,ENT
99,nwl52_total,466,466,466,04/01/2023,ENT
99,nwm104_total,1,1,1,04/01/2023,ENT
99,nwm52_total,132,132,132,04/01/2023,ENT
99,nwm78_total,12,12,12,04/01/2023,ENT
99,rtt_nwm78_total,12,12,12,04/01/2023,ENT
99,wl_size,599,599,599,04/01/2023,ENT
100,nwl104_total,0,0,0,05/01/2023,ENT
100,nwl52_total,468,468,468,05/01/2023,ENT
100,nwm104_total,1,1,1,05/01/2023,ENT
100,nwm52_total,132,132,132,05/01/2023,ENT
100,nwm78_total,12,12,12,05/01/2023,ENT
100,rtt_maxwt,23,23,23,05/01/2023,ENT
100,rtt_meanwt,22.5,22.5,22.5,05/01/2023,ENT
100,rtt_medianwt,22.5,22.5,22.5,05/01/2023,ENT
100,rtt_nwm78_total,12,12,12,05/01/2023,ENT
100,wl_size,601,601,601,05/01/2023,ENT
101,nwl104_total,0,0,0,06/01/2023,ENT
101,nwl52_total,474,474,474,06/01/2023,ENT
101,nwm104_total,1,1,1,06/01/2023,ENT
101,nwm52_total,132,132,132,06/01/2023,ENT
101,nwm78_total,12,12,12,06/01/2023,ENT
101,rtt_nwm78_total,12,12,12,06/01/2023,ENT
101,wl_size,607,607,607,06/01/2023,ENT
102,nwl104_total,0,0,0,07/01/2023,ENT
102,nwl52_total,477,477,477,07/01/2023,ENT
102,nwm104_total,1,1,1,07/01/2023,ENT
102,nwm52_total,132,132,132,07/01/2023,ENT
102,nwm78_total,12,12,12,07/01/2023,ENT
102,rtt_maxwt,36,36,36,07/01/2023,ENT
102,rtt_meanwt,36,36,36,07/01/2023,ENT
102,rtt_medianwt,36,36,36,07/01/2023,ENT
102,rtt_nwm78_total,12,12,12,07/01/2023,ENT
102,wl_size,610,610,610,07/01/2023,ENT
103,nwl104_total,0,0,0,08/01/2023,ENT
103,nwl52_total,478,478,478,08/01/2023,ENT
103,nwm104_total,1,1,1,08/01/2023,ENT
103,nwm52_total,132,132,132,08/01/2023,ENT
103,nwm78_total,12,12,12,08/01/2023,ENT
103,rtt_maxwt,36,36,36,08/01/2023,ENT
103,rtt_meanwt,30.5,30.5,30.5,08/01/2023,ENT
103,rtt_medianwt,30.5,30.5,30.5,08/01/2023,ENT
103,rtt_nwm78_total,12,12,12,08/01/2023,ENT
103,wl_size,611,611,611,08/01/2023,ENT
104,nwl104_total,0,0,0,09/01/2023,ENT
104,nwl52_total,481,481,481,09/01/2023,ENT
104,nwm104_total,1,1,1,09/01/2023,ENT
104,nwm52_total,131,131,131,09/01/2023,ENT
104,nwm78_total,12,12,12,09/01/2023,ENT
104,rtt_nwm78_total,12,12,12,09/01/2023,ENT
104,wl_size,613,613,613,09/01/2023,ENT
105,nwl104_total,0,0,0,10/01/2023,ENT
105,nwl52_total,482,482,482,10/01/2023,ENT
105,nwm104_total,1,1,1,10/01/2023,ENT
105,nwm52_total,131,131,131,10/01/2023,ENT
105,nwm78_total,12,12,12,10/01/2023,ENT
105,rtt_maxwt,285,285,285,10/01/2023,ENT
105,rtt_meanwt,285,285,285,10/01/2023,ENT
105,rtt_medianwt,285,285,285,10/01/2023,ENT
105,rtt_nwm78_total,12,12,12,10/01/2023,ENT
105,wl_size,614,614,614,10/01/2023,ENT
106,nwl104_total,0,0,0,11/01/2023,ENT
106,nwl52_total,475,475,475,11/01/2023,ENT
106,nwm104_total,1,1,1,11/01/2023,ENT
106,nwm52_total,138,138,138,11/01/2023,ENT
106,nwm78_total,13,13,13,11/01/2023,ENT
106,rtt_maxwt,42,42,42,11/01/2023,ENT
106,rtt_meanwt,33.25,33.25,33.25,11/01/2023,ENT
106,rtt_medianwt,32,32,32,11/01/2023,ENT
106,rtt_nwm78_total,13,13,13,11/01/2023,ENT
106,wl_size,614,614,614,11/01/2023,ENT
107,nwl104_total,0,0,0,12/01/2023,ENT
107,nwl52_total,473,473,473,12/01/2023,ENT
107,nwm104_total,1,1,1,12/01/2023,ENT
107,nwm52_total,138,138,138,12/01/2023,ENT
107,nwm78_total,13,13,13,12/01/2023,ENT
107,rtt_maxwt,27,27,27,12/01/2023,ENT
107,rtt_meanwt,26.333333333333332,26.333333333333332,26.333333333333332,12/01/2023,ENT
107,rtt_medianwt,26,26,26,12/01/2023,ENT
107,rtt_nwm78_total,13,13,13,12/01/2023,ENT
107,wl_size,612,612,612,12/01/2023,ENT
108,nwl104_total,0,0,0,13/01/2023,ENT
108,nwl52_total,477,477,477,13/01/2023,ENT
108,nwm104_total,1,1,1,13/01/2023,ENT
108,nwm52_total,138,138,138,13/01/2023,ENT
108,nwm78_total,13,13,13,13/01/2023,ENT
108,rtt_maxwt,27,27,27,13/01/2023,ENT
108,rtt_meanwt,26.5,26.5,26.5,13/01/2023,ENT
108,rtt_medianwt,26.5,26.5,26.5,13/01/2023,ENT
108,rtt_nwm78_total,13,13,13,13/01/2023,ENT
108,wl_size,616,616,616,13/01/2023,ENT
109,nwl104_total,0,0,0,14/01/2023,ENT
